[18:05:18] [MAIN] Target: getscreen.exe -> svchost.exe | PID: 7360
[18:05:18] [MAIN] Shared memory created
[18:05:18] [THREAD] Injection thread started
[18:05:18] [MAIN] DLL path: C:\Users\Stranger\Desktop\ProcessHider\DLL_Injector\ProcessHider.dll
[18:05:53] [+] Injected PID 16444 (svchost.exe)
[18:05:53] [+] Injected PID 18168 (svchost.exe)
[18:05:53] [+] Injected PID 17784 (WzPreloader.exe)
[18:05:54] [+] Injected PID 18104 (msedgewebview2.exe)
[18:05:54] [+] Injected PID 18136 (msedgewebview2.exe)
[18:05:54] [+] Injected PID 16268 (msedgewebview2.exe)
[18:05:55] [+] Injected PID 18960 (svchost.exe)
[18:06:00] [+] Injected PID 8596 (SystemSettings.exe)
[18:06:00] [+] Injected PID 2088 (ApplicationFrameHost.exe)
[18:06:00] [+] Injected PID 4312 (UserOOBEBroker.exe)
[18:06:01] [+] Injected PID 19392 (FileCoAuth.exe)
[18:06:01] [+] Injected PID 16700 (svchost.exe)
[18:06:01] [+] Injected PID 16624 (CompPkgSrv.exe)
[18:06:01] [+] Injected PID 15784 (smartscreen.exe)
[18:06:02] [+] Injected PID 12980 (brave.exe)
[18:06:02] [+] Injected PID 12628 (Code.exe)
[18:06:02] [+] Injected PID 15116 (Code.exe)
[18:06:02] [+] Injected PID 1108 (Code.exe)
[18:06:03] [+] Injected PID 3208 (Code.exe)
[18:06:03] [+] Injected PID 17920 (Code.exe)
[18:06:03] [+] Injected PID 13184 (Code.exe)
[18:06:04] [+] Injected PID 3088 (Code.exe)
[18:06:04] [+] Injected PID 13812 (Code.exe)
[18:06:04] [+] Injected PID 2352 (OpenConsole.exe)
[18:06:05] [+] Injected PID 12648 (powershell.exe)
[18:06:05] [+] Injected PID 19172 (Code.exe)
[18:06:05] [+] Injected PID 13476 (powershell.exe)
[18:06:06] [+] Injected PID 10756 (conhost.exe)
[18:06:06] [+] Injected PID 13380 (codex.exe)
[18:06:06] [+] Injected PID 12696 (conhost.exe)
[18:06:06] [+] Injected PID 11028 (cpptools.exe)
[18:06:07] [+] Injected PID 1984 (conhost.exe)
[18:06:07] [+] Injected PID 12976 (Code.exe)
[18:06:07] [+] Injected PID 12800 (cpptools.exe)
[18:06:08] [+] Injected PID 8580 (cpptools-srv.exe)
[18:06:08] [+] Injected PID 15312 (conhost.exe)
[18:06:08] [+] Injected PID 19504 (BridgeCommunication.exe)
[18:06:09] [+] Injected PID 19644 (vctip.exe)
[18:06:09] [+] Injected PID 17816 (node.exe)
[18:06:09] [+] Injected PID 17820 (conhost.exe)
[18:06:09] [+] Injected PID 17032 (svchost.exe)
[18:06:10] [+] Injected PID 8164 (SearchProtocolHost.exe)
[18:06:10] [+] Injected PID 15080 (TrustedInstaller.exe)
[18:06:10] [+] Injected PID 2900 (svchost.exe)
[18:06:11] [+] Injected PID 19640 (TiWorker.exe)
[18:06:11] [+] Injected PID 17872 (conhost.exe)
[18:06:12] [+] Injected PID 18100 (Taskmgr.exe)
[18:06:52] [+] Injected PID 20232 (WMIC.exe)
[18:07:05] [+] Injected PID 19692 (updater.exe)
[18:07:06] [+] Injected PID 13908 (updater.exe)
[18:07:06] [+] Injected PID 13344 (updater.exe)
[18:07:06] [+] Injected PID 7752 (updater.exe)
[18:07:06] [+] Injected PID 15492 (updater.exe)
[18:07:07] [+] Injected PID 8880 (updater.exe)
[18:07:07] [+] Injected PID 17100 (PhoneExperienceHost.exe)
[18:07:42] [+] Injected PID 19540 (WMIC.exe)
[18:08:02] [+] Injected PID 1712 (WMIC.exe)
[18:08:22] [+] Injected PID 9724 (WMIC.exe)
[18:08:30] [+] Injected PID 17596 (SearchProtocolHost.exe)
[18:08:38] [+] Injected PID 1636 (svchost.exe)
[18:08:39] [+] Injected PID 11892 (WerFault.exe)
[18:08:52] [+] Injected PID 13224 (WMIC.exe)
[18:09:02] [+] Injected PID 17756 (WMIC.exe)
[18:09:23] [+] Injected PID 13556 (SearchApp.exe)
[18:09:49] [+] Injected PID 14040 (BridgeCommunication.exe)
[18:10:03] [+] Injected PID 15100 (WMIC.exe)
[18:10:12] [+] Injected PID 17664 (WMIC.exe)
[18:10:32] [+] Injected PID 10024 (WMIC.exe)
[18:10:53] [+] Injected PID 16620 (WMIC.exe)
[18:11:02] [+] Injected PID 19920 (WMIC.exe)
[18:11:31] [+] Injected PID 18528 (SearchProtocolHost.exe)
[18:12:13] [+] Injected PID 11076 (WMIC.exe)
[18:12:23] [+] Injected PID 9392 (WMIC.exe)
[18:12:32] [+] Injected PID 20164 (WMIC.exe)
[18:12:32] [+] Injected PID 19320 (conhost.exe)
[18:12:46] [+] Injected PID 5928 (docker.exe)
[18:12:53] [+] Injected PID 15784 (WMIC.exe)
[18:13:02] [+] Injected PID 18388 (WMIC.exe)
[18:13:04] [+] Injected PID 20008 (wpscloudsvr.exe)
[18:13:05] [+] Injected PID 20404 (ksomisc.exe)
[18:13:05] [+] Injected PID 2820 (wps.exe)
[18:13:06] [+] Injected PID 10008 (promecefpluginhost.exe)
[18:13:06] [+] Injected PID 9392 (promecefpluginhost.exe)
[18:13:08] [+] Injected PID 13752 (wps.exe)
[18:13:08] [+] Injected PID 14432 (wps.exe)
[18:13:09] [+] Injected PID 19340 (MoUsoCoreWorker.exe)
[18:13:09] [+] Injected PID 8168 (provtool.exe)
[18:13:10] [+] Injected PID 19572 (taskhostw.exe)
